grupo,bigrama,frecuencia
BBC,tropa ruso,6
BBC,fosa común,5
BBC,bombardeo ruso,4
BBC,google youtube,4
BBC,bbc news,3
BBC,versión app,3
BBC,bbc mundo,3
BBC,app activa,3
BBC,autor bbc,3
BBC,título autor,3
BBC,descargar versión,3
BBC,recibir notificación,3
RT,arma nuclear,7
RT,corredor humanitario,7
RT,crisis misil,7
RT,misil cuba,4
RT,traslado aéreo,3
RT,objetivo militar,3
RT,ruta ciudad,2
RT,alojamiento temporal,2
RT,ciudad ruso,2
RT,carretera destino,2
RT,ciudad ucraniano,2
RT,ciudadano extranjero,2
